# Askö pipeline centreline — EPSG:32633 (== 3006 here) and Unity scene metres
easting,northing,scene_x,scene_z,crown_y_m,axis_y_m,s_m
652050.876,6523235.215,-254.870,-93.634,-8.6801,-8.9051,0.000
652051.518,6523236.459,-254.228,-92.390,-8.5810,-8.8060,1.400
652052.073,6523237.859,-253.673,-90.990,-8.5548,-8.7798,2.906
652052.802,6523239.208,-252.944,-89.642,-8.5227,-8.7477,4.439
652053.496,6523240.697,-252.250,-88.153,-8.5117,-8.7367,6.082
652053.790,6523241.392,-251.956,-87.458,-8.4894,-8.7144,6.836
652054.260,6523242.687,-251.486,-86.163,-8.4231,-8.6481,8.214
652054.662,6523243.611,-251.084,-85.239,-8.3871,-8.6121,9.221
652055.144,6523244.641,-250.602,-84.208,-8.3353,-8.5603,10.359
652055.465,6523245.198,-250.281,-83.652,-8.3548,-8.5798,11.002
652056.211,6523246.281,-249.535,-82.569,-8.3175,-8.5425,12.317
652057.018,6523247.476,-248.728,-81.374,-8.3086,-8.5336,13.758
652057.669,6523248.717,-248.077,-80.133,-8.2694,-8.4944,15.160
652058.300,6523250.094,-247.446,-78.755,-8.2192,-8.4442,16.675
652058.963,6523251.462,-246.783,-77.387,-8.1611,-8.3861,18.195
652059.143,6523251.931,-246.603,-76.919,-8.2153,-8.4403,18.697
652059.438,6523252.886,-246.308,-75.963,-8.2334,-8.4584,19.697
652059.757,6523253.834,-245.989,-75.015,-8.1483,-8.3733,20.698
652060.491,6523255.312,-245.255,-73.538,-8.1475,-8.3725,22.347
652060.965,6523256.475,-244.781,-72.375,-8.1860,-8.4110,23.603
652061.413,6523257.516,-244.333,-71.334,-8.1059,-8.3309,24.736
652061.871,6523258.423,-243.875,-70.427,-8.0834,-8.3084,25.753
652062.723,6523259.865,-243.023,-68.984,-8.0825,-8.3075,27.428
652063.565,6523261.571,-242.181,-67.278,-8.0575,-8.2825,29.330
652063.957,6523262.498,-241.789,-66.351,-8.0503,-8.2753,30.337
652064.323,6523263.433,-241.423,-65.417,-8.0286,-8.2536,31.340
652065.039,6523264.916,-240.707,-63.934,-7.9684,-8.1934,32.987
652065.480,6523265.958,-240.266,-62.891,-7.9588,-8.1838,34.119
652065.694,6523266.546,-240.052,-62.303,-7.9506,-8.1756,34.745
652066.020,6523267.623,-239.726,-61.226,-7.9444,-8.1694,35.870
652066.372,6523268.692,-239.374,-60.157,-7.9313,-8.1563,36.996
652066.931,6523270.091,-238.815,-58.758,-7.9000,-8.1250,38.502
652067.360,6523271.007,-238.386,-57.842,-7.9080,-8.1330,39.513
652067.825,6523272.043,-237.921,-56.807,-7.8682,-8.0932,40.649
652068.382,6523273.833,-237.364,-55.016,-7.8915,-8.1165,42.524
652068.921,6523275.629,-236.825,-53.220,-7.8448,-8.0698,44.399
652069.528,6523277.274,-236.218,-51.575,-7.8431,-8.0681,46.153
652069.958,6523278.712,-235.789,-50.138,-7.8088,-8.0338,47.653
652070.384,6523280.150,-235.362,-48.700,-7.8057,-8.0307,49.153
652070.809,6523281.588,-234.937,-47.261,-7.7552,-7.9802,50.653
652071.051,6523282.560,-234.695,-46.290,-7.7616,-7.9866,51.654
652071.313,6523284.046,-234.433,-44.803,-7.7160,-7.9410,53.163
652071.547,6523285.542,-234.199,-43.308,-7.7011,-7.9261,54.677
652071.767,6523287.302,-233.979,-41.548,-7.6717,-7.8967,56.450
652071.950,6523288.421,-233.796,-40.429,-7.6734,-7.8984,57.584
652072.150,6523289.535,-233.596,-39.315,-7.6526,-7.8776,58.716
652072.355,6523290.647,-233.391,-38.202,-7.6214,-7.8464,59.847
652072.707,6523292.108,-233.039,-36.742,-7.5811,-7.8061,61.350
652072.994,6523293.717,-232.753,-35.132,-7.5783,-7.8033,62.985
652073.294,6523295.323,-232.452,-33.526,-7.5666,-7.7916,64.618
652073.578,6523296.934,-232.168,-31.916,-7.5432,-7.7682,66.254
652073.856,6523298.285,-231.890,-30.564,-7.5160,-7.7410,67.634
652074.096,6523300.040,-231.650,-28.810,-7.4714,-7.6964,69.404
